"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"57135",-0.530642830517904,0.319704065591532,-14.510446766801,2.78676512835141e-31,2.77390313545132e-28,60.3477461093147
"57055",-0.513371633753591,0.309298437727319,-14.452915624106,4.02901345284285e-31,3.86188400591011e-28,59.9864556312759
"1617",-0.545057575961264,0.3358437454947,-14.4183945581858,5.02693399893927e-31,4.64632328187672e-28,59.7695687407156
"107987348",-0.848582273247157,0.535574869462528,-14.238768939807,1.59154966926674e-30,1.42032087726287e-27,58.6398917987087
"105377243",-0.541135151035133,0.330729119461181,-14.2031329536732,2.00080226702364e-30,1.7260254223524e-27,58.415556959399
"107987350",-0.843089956643962,0.532265833993523,-14.1893779057388,2.18560908687632e-30,1.82463106994707e-27,58.3289479195081
"57054",-0.506541440036748,0.305183352071829,-14.170941179541,2.46040275300034e-30,1.98985072648903e-27,58.2128445202039
"86614",-0.406518033066631,0.249624396213077,-13.8397436487964,2.07067832558958e-29,1.62391378988662e-26,56.1242335691193
"100873962",-0.561048187161144,0.342726414518468,-13.7365220945343,4.02565250625407e-29,3.06423196652516e-26,55.4722600520256
"159119",-0.414023632403708,0.254146403267092,-13.5503743667403,1.33637207682951e-28,9.88151695667078e-26,54.2954340183782
"105377240",-0.509931511810139,0.316633005038932,-13.4022433404903,3.47477703747119e-28,2.49797860360429e-25,53.3580830746008
"107987338",-0.488809653255717,0.294500225874562,-13.3258279052139,5.68994584957376e-28,3.97988644829645e-25,52.8742766296987
"286554",-0.60298253494001,0.367991207900765,-13.3169003248638,6.02746567841088e-28,4.10502136203352e-25,52.8177431705295
"113219468",-0.524671438962496,0.32080998858512,-13.2666011841965,8.33973526853932e-28,5.53416278845635e-25,52.4991873672786
"8226",0.228820407184956,2.88020772766453,9.71808964990781,6.17563721747556e-18,3.99563727970669e-15,30.1933872646045
"83259",-0.443753970380323,0.370480286141013,-9.41854751840595,3.9787829328513e-17,2.51148542200467e-14,28.3659869881404
"101927653",-0.637225431292145,1.16837589389902,-9.18943237624739,1.63606736538932e-16,1.00812912895894e-13,26.9794841205186
"105377219",-0.368083125144075,0.226467961005077,-8.04931452439794,1.55896775720954e-13,9.38281059455418e-11,20.2605059389615
"105377218",-0.361199945451433,0.222320952121933,-7.93381638412197,3.063403758487e-13,1.8018383924919e-10,19.5997556432598
"8228",0.181175849220797,3.00733151321945,7.46012586963379,4.67807245408042e-12,2.69041144692447e-09,16.9356545209401
"1968",0.185984865060854,3.54227157929343,6.99978544936481,6.13352235624122e-11,3.45077301259832e-08,14.4247232558821
"8242",0.190923726651532,3.10531544750533,6.84935124357363,1.39707853423179e-10,7.69284946083378e-08,13.6225710111536
"100533178",-0.30352172906128,0.192274316053594,-6.78947283348109,1.93376686687127e-10,1.04262263572143e-07,13.3059539314006
"554203",0.198932356027815,2.11057988493241,6.7151549781509,2.88885691726121e-10,1.52578810242286e-07,12.9151505561677
"105377227",-0.264054991547626,0.186404470096628,-6.67601160635438,3.56559590051078e-10,1.84555243810438e-07,12.7102913963464
"27112",-0.359492648019982,2.63342539657299,-6.44508730369285,1.21749443319894e-09,6.17818743748794e-07,11.5158546076288
"94056",0.154674588550548,3.08513663605229,6.40193685892357,1.52748677307164e-09,7.60218417059501e-07,11.2954074552204
"7543",0.23464834620963,2.94627219505023,6.15081496722681,5.62098324703688e-09,2.74473672515688e-06,10.0303401130742
"105373184",0.256886533231683,0.540195948889703,5.92666006619561,1.75270147859662e-08,8.39998412334823e-06,8.92790399382103
"3760",-0.438075333912647,1.79269833997082,-5.79968299340949,3.30069511288168e-08,1.55312708220687e-05,8.31511680286042
"105377225",-0.240800877517985,0.145078789560525,-5.77421203469446,3.74379817981612e-08,1.73016958738645e-05,8.19324214162791
"266722",-0.474640465261303,1.62472038334642,-5.74044766454981,4.4218580706198e-08,2.00767871697615e-05,8.03223126648859
"594855",-0.37697528629789,1.89834105446839,-5.54667238108005,1.1360481586119e-07,5.06912523187519e-05,7.12044122644956
"25758",0.30018214540357,1.0794303972889,5.47813874924779,1.57838087113331e-07,6.92347405846271e-05,6.80306219465103
"100130418",-0.281247668678112,1.46939700703848,-5.45673557374041,1.74816434003464e-07,7.54041552001608e-05,6.70450051795562
"1964",0.196135377922013,3.40606504112781,5.39350922576674,2.36051761480138e-07,0.000100147862083704,6.41490514019721
"105371175",0.257823651706214,0.670807974492947,5.3701213313871,2.63636412501554e-07,0.000110046941218391,6.30837721276278
"79748",-0.345523947045966,1.74015035000791,-5.36232720377321,2.73508732427731e-07,0.000112355650717931,6.27294815878243
"90665",-0.202727781410577,0.126843934035206,-5.28390956427426,3.95157564913997e-07,0.000159791840312097,5.91850602169894
"55796",-0.300166655000251,2.41046468329115,-5.26163503450261,4.38412050353084e-07,0.000174555444048274,5.81849944874227
"7403",0.238217557770074,2.75470000202868,5.20466374300965,5.71082609250313e-07,0.000223933604960577,5.56408152002315
"400841",-0.248816697325671,0.562121014594454,-5.16893927204981,6.7340687335774e-07,0.000260115968395497,5.40555637434372
"107986407",0.287752320363683,1.69846747428113,5.12990680145399,8.05587491563744e-07,0.000303820072914686,5.23324980367815
"425057",-0.204120879293505,0.122979660195466,-5.12870589381816,8.10030333505152e-07,0.000303820072914686,5.22796339966966
"83864",-0.20038564564066,0.120729239920149,-5.08667783490087,9.81432377130339e-07,0.000362849570287617,5.04351993752941
"139341",0.121771561028585,2.96262185887448,5.02116821552644,1.32093808307976e-06,0.000481491233663438,4.75822861200147
